Origin,Origin_Pop,Destination,Destination_Pop,Travel_Time
LOGO,246325,ARU,185456,11684.0
LOLWA,46878,ARU,185456,22853.0
LUBERO,274996,ARU,185456,30243.0
MABALAKO,192291,ARU,185456,35464.0
MAHAGI,178740,ARU,185456,14853.0
MAMBASA,98208,ARU,185456,25268.0
MANDIMA,141513,ARU,185456,33615.0
MANGALA,94886,ARU,185456,20662.0
MANGUREDJIPA,74827,ARU,185456,36772.0
MASEREKA,183527,ARU,185456,28965.0
MASISI,423301,ARU,185456,46297.0
MONGBWALU,136572,ARU,185456,14354.0
MUSIENENE,257600,ARU,185456,30228.0
MUTWANGA,256179,ARU,185456,27883.0
MWESO,404625,ARU,185456,40883.0
NIA-NIA,73073,ARU,185456,35327.0
NIZI,145051,ARU,185456,15241.0
NYANKUNDE,100299,ARU,185456,14025.0
NYARAMBE,238825,ARU,185456,25135.0
NYIRAGONGO,635148,ARU,185456,38259.0
OICHA,347253,ARU,185456,22697.0
PINGA,156081,ARU,185456,39829.0
RETHY,205135,ARU,185456,12048.0
RIMBA,216446,ARU,185456,12015.0
RUTSHURU,293634,ARU,185456,36101.0
RWAMPARA,137286,ARU,185456,17831.0
RWANGUBA,268948,ARU,185456,36638.0
TCHOMIA,113035,ARU,185456,50635.0
VUHOVI,125530,ARU,185456,26278.0
WALIKALE,162523,ARU,185456,54303.0
ADI,165627,AUNGBA,161978,12975.0
ADJA,129346,AUNGBA,161978,6716.0
ALIMBONGO,227787,AUNGBA,161978,31208.0
ANGUMU,168048,AUNGBA,161978,14625.0
ARIWARA,206104,AUNGBA,161978,8178.0
ARU,185456,AUNGBA,161978,5427.0
BAMBO,156395,AUNGBA,161978,34804.0
BAMBU-MINES,152322,AUNGBA,161978,10686.0
BENI,395029,AUNGBA,161978,21421.0
BIENA,122726,AUNGBA,161978,27935.0
BINZA,190494,AUNGBA,161978,36263.0
BIRAMBIZO,398438,AUNGBA,161978,36239.0
BIRINGI,125472,AUNGBA,161978,6906.0
BOGA,69412,AUNGBA,161978,21023.0
BUNIA,274563,AUNGBA,161978,12363.0
BUTEMBO,326616,AUNGBA,161978,23735.0
DAMAS,119532,AUNGBA,161978,6808.0
DRODRO,158491,AUNGBA,161978,12978.0
FATAKI,131340,AUNGBA,161978,10026.0
GETHY,191018,AUNGBA,161978,16982.0
GOMA,260035,AUNGBA,161978,36709.0
ITEBERO,183913,AUNGBA,161978,52353.0
JIBA,140335,AUNGBA,161978,12594.0
KALUNGUTA,206145,AUNGBA,161978,21961.0
KAMANGO,109141,AUNGBA,161978,22978.0
KAMBALA,126742,AUNGBA,161978,5820.0
KARISIMBI,518302,AUNGBA,161978,36285.0
KATWA,424920,AUNGBA,161978,23755.0
KAYNA,362851,AUNGBA,161978,32525.0
KIBIRIZI,331604,AUNGBA,161978,31423.0
KIBUA,104917,AUNGBA,161978,46965.0
KILO,57244,AUNGBA,161978,9437.0
KIROTSHE,452929,AUNGBA,161978,39092.0
KITOYI,22000,AUNGBA,161978,42670.0
KOMANDA,189251,AUNGBA,161978,17392.0
KYONDO,222254,AUNGBA,161978,26593.0
LAYBO,145111,AUNGBA,161978,9679.0
LINGA,151032,AUNGBA,161978,11006.0
LITA,131251,AUNGBA,161978,15758.0
LOGO,246325,AUNGBA,161978,9765.0
LOLWA,46878,AUNGBA,161978,20091.0
LUBERO,274996,AUNGBA,161978,27481.0
MABALAKO,192291,AUNGBA,161978,32702.0
MAHAGI,178740,AUNGBA,161978,13678.0
MAMBASA,98208,AUNGBA,161978,22506.0
