District_Name,District_ID,Population,Pop_X,Pop_Y,Geog_X,Geog_Y
Lubumbashi:Kenya,HD_249,2372,27.76261796,-11.88366824,27.7757,-11.891
Lubumbashi:Kisanga,HD_250,2695,27.53799091,-11.91589211,27.5523,-11.9168
Lubumbashi:Lubumbashi,HD_251,1074285,27.48021733,-11.66578104,27.5009,-11.7013
Lubumbashi:Mumbunda,HD_252,5067,27.53874446,-11.82093068,27.5341,-11.8192
Lubumbashi:Rwashi,HD_253,4642,27.71673586,-11.57224214,27.9251,-11.5994
Lubumbashi:Tshamilemba,HD_254,41708,27.56161693,-11.64587098,27.6136,-11.6469
Luiza:Bilomba,HD_255,73807,22.25488734,-6.555859088,22.2661,-6.54542
Luiza:Kalomba,HD_256,116016,21.68700269,-6.769581135,21.6744,-6.78703
Luiza:Luambo,HD_257,164515,22.05853553,-7.362551367,22.0616,-7.42426
Luiza:Luiza,HD_258,173931,22.46122769,-7.062531007,22.4938,-7.02861
Luiza:Masuika,HD_259,142104,22.51125012,-7.57230821,22.5131,-7.57836
Luiza:Ndekesha,HD_260,168630,21.92192145,-6.366243879,21.8662,-6.32971
Luiza:Tshibala,HD_261,189633,21.98863459,-6.876572717,21.9992,-6.89085
Luiza:Yangala,HD_262,140691,22.98746701,-7.366726856,22.9765,-7.38208
Lukaya:Kimvula,HD_263,163542,16.01450422,-5.56817535,16.0384,-5.45372
Lukaya:Kisantu,HD_264,205780,15.23496411,-5.149069818,15.2823,-5.12587
Lukaya:Masa,HD_265,63981,15.16114335,-4.59656324,15.157,-4.60134
Lukaya:Ngidinga,HD_266,134787,15.45148333,-5.684150368,15.5053,-5.68462
Lukaya:Nselo,HD_267,203059,15.51346415,-5.29692094,15.6237,-5.28328
Lukaya:Sona-Bata,HD_268,176050,15.30096077,-4.808880071,15.3789,-4.81287
Lukunga:Bandalungwa,HD_269,296376,15.28471539,-4.340786443,15.2839,-4.34265
Lukunga:Binza Meteo,HD_270,704892,15.25936775,-4.371787462,15.2498,-4.38332
Lukunga:Binza Ozone,HD_271,223832,15.23590713,-4.346111298,15.2274,-4.34348
Lukunga:Kintambo,HD_272,218180,15.26900366,-4.343495141,15.2687,-4.34581
Lukunga:Kokolo,HD_273,97921,15.28920906,-4.335872065,15.2874,-4.33489
Lukunga:Mont Ngafula I,HD_274,287784,15.29620943,-4.446144941,15.3077,-4.5283
Lukunga:Mont Ngafula II,HD_275,205877,15.21603191,-4.423983477,15.1955,-4.43135
Lukunga:Selembao,HD_276,572069,15.28336692,-4.393577521,15.2776,-4.4068
Lulua:Bena Leka,HD_277,213287,22.07941039,-5.177114194,22.0955,-5.1091
Lulua:Bena Tshiadi,HD_278,51895,22.7686108,-4.573840954,22.8081,-4.55391
Lulua:Bunkonde,HD_279,64486,22.60349528,-6.355570341,22.5827,-6.36392
Lulua:Demba,HD_280,232740,22.25336953,-5.509232274,22.2997,-5.49979
Lulua:Dibaya,HD_281,131739,22.90936584,-6.460778947,22.9689,-6.4772
